credit_score,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
562,Male,42,2,100238.35,1,no,no,86797.41,no
675,Male,36,9,106190.55,1,no,yes,22994.32,no
721,Male,28,9,154475.54,2,no,yes,101300.94,yes
628,Female,30,9,132351.29,2,yes,yes,74169.13,no
668,Female,37,6,167864.4,1,yes,no,115638.29,no
506,Female,41,1,0,2,yes,no,31766.3,no
524,Female,31,8,107818.63,1,yes,no,199725.39,yes
699,Male,34,4,185173.81,2,yes,no,120834.48,no
828,Male,34,8,129433.34,2,no,no,38131.77,no
674,Male,39,6,120193.42,1,no,no,100130.95,no
656,Female,39,6,0,2,yes,no,141069.88,no
684,Female,48,10,126384.42,1,yes,yes,198129.36,no
625,Female,28,3,0,1,no,no,183646.41,no
432,Male,42,9,152603.45,1,yes,no,110265.24,yes
549,Female,52,1,0,1,no,yes,8636.05,yes
625,Male,56,0,148507.24,1,yes,no,46824.08,yes
828,Female,41,7,0,2,yes,no,171378.77,no
770,Male,24,9,101827.07,1,yes,no,167256.35,no
758,Female,34,3,0,2,yes,yes,124226.16,no
795,Female,33,9,130862.43,1,yes,yes,114935.21,no
687,Male,38,9,122570.87,1,yes,yes,35608.88,no
686,Male,25,1,0,2,no,yes,16459.37,no
789,Male,39,7,124828.46,2,yes,yes,124411.08,no
589,Female,50,5,144895.05,2,yes,yes,34941.23,no
461,Female,34,5,63663.93,1,no,yes,167784.28,no
637,Male,40,2,133463.1,1,no,yes,93165.34,no
584,Female,48,2,213146.2,1,yes,no,75161.25,yes
579,Female,35,1,129490.36,2,no,yes,8590.83,yes
756,Male,44,10,137452.09,1,yes,no,189543.9,no
663,Male,34,7,0,2,yes,yes,180427.24,no
682,Female,43,5,125851.93,1,yes,yes,193318.33,no
793,Male,52,2,0,1,yes,no,159123.82,yes
691,Female,31,5,40915.55,1,yes,no,126213.84,yes
485,Female,21,5,113157.22,1,yes,yes,54141.5,no
635,Female,29,8,138296.94,2,yes,no,141075.51,no
650,Male,37,5,106967.18,1,no,no,24495.03,no
735,Male,44,9,120681.63,1,yes,no,74836.34,no
416,Male,32,0,0,2,no,yes,878.87,no
754,Female,32,7,0,2,yes,no,89520.75,no
535,Female,48,9,0,1,yes,no,149892.79,yes
716,Male,42,8,0,2,yes,no,180800.42,no
539,Male,37,2,127609.59,1,yes,no,98646.22,no
614,Female,43,6,0,2,yes,yes,109041.53,no
706,Male,57,7,0,1,yes,no,17941.16,yes
758,Female,33,7,0,2,no,no,82996.47,no
586,Female,28,2,0,2,yes,yes,92067.35,no
646,Female,73,6,97259.25,1,no,yes,104719.66,no
631,Female,33,4,123246.7,1,no,no,112687.57,no
717,Female,22,6,101060.25,1,no,yes,84699.56,no
684,Male,30,2,0,2,yes,no,83473.82,no
800,Female,49,7,108007.36,1,no,no,47125.11,no
721,Female,36,2,0,2,yes,yes,106977.8,no
683,Male,29,0,133702.89,1,yes,no,55582.54,yes
660,Male,31,9,125189.75,2,yes,yes,139874.43,no
704,Female,24,7,113034.22,1,yes,no,162503.48,yes
615,Female,41,9,109013.23,1,yes,no,196499.96,no
667,Female,39,2,0,2,yes,no,40721.24,yes
682,Male,24,9,57929.81,2,no,no,53134.3,no
484,Female,29,4,130114.39,1,yes,no,164017.89,no
628,Male,27,5,95826.49,2,yes,no,155996.96,no
480,Male,44,10,129608.57,1,yes,no,5472.7,yes
578,Male,30,4,169462.09,1,yes,no,112187.11,no
512,Male,40,5,0,2,yes,yes,146457.83,no
484,Female,35,7,133868.21,1,yes,yes,27286.1,no
510,Female,30,0,0,2,yes,yes,130553.47,no
606,Male,36,5,190479.48,2,no,no,179351.89,no
597,Female,40,8,101993.12,1,no,yes,94774.12,no
754,Female,55,3,161608.81,1,yes,no,8080.85,yes
850,Female,45,2,122311.21,1,yes,yes,19482.5,no
510,Male,65,2,0,2,yes,yes,48071.61,no
778,Female,45,1,162150.42,2,yes,no,174531.27,no
636,Male,42,2,0,2,yes,yes,55470.78,no
804,Female,50,4,0,1,yes,yes,8546.87,yes
514,Male,32,8,0,2,yes,no,95857.18,no
730,Female,39,1,99010.67,1,yes,no,194945.8,no
525,Female,37,0,0,1,no,yes,131521.72,no
616,Male,30,5,0,2,no,yes,196108.51,no
687,Female,34,7,111388.18,2,yes,no,148564.76,no
715,Female,41,8,56214.85,2,no,no,92982.61,yes
512,Female,36,3,84327.77,2,yes,no,17675.36,no
479,Male,40,1,0,2,no,no,114996.43,no
601,Male,32,8,93012.89,1,yes,no,86957.42,no
580,Male,29,9,61710.44,2,yes,no,128077.8,no
807,Male,35,3,174790.15,1,yes,yes,600.36,no
616,Female,32,6,0,2,yes,yes,43001.46,no
721,Male,37,3,107720.64,1,yes,yes,158591.12,no
501,Male,57,10,0,2,yes,yes,47847.19,no
521,Male,35,6,96423.84,1,yes,no,10488.44,no
850,Male,30,2,141040.01,1,yes,yes,5978.2,no
759,Male,42,4,105420.18,1,no,yes,121409.06,no
516,Male,50,5,0,1,no,yes,146145.93,yes
711,Female,38,2,129022.06,2,yes,yes,14374.86,yes
512,Male,33,3,176666.62,1,yes,no,94670.77,no
550,Male,37,3,0,1,yes,yes,179670.31,no
608,Female,41,3,89763.84,1,no,no,199304.74,yes
618,Male,34,5,134954.53,1,yes,yes,151954.39,no
643,Male,45,5,0,1,yes,no,142513.5,yes
671,Male,45,2,106376.85,1,no,yes,158264.62,no
689,Male,33,2,161814.64,2,yes,no,169381.9,no
603,Male,31,8,0,2,yes,yes,169915.02,no
620,Female,41,9,0,2,no,no,88852.47,no
676,Female,34,1,63095.01,1,yes,yes,40645.81,no
572,Male,26,4,118287.01,2,no,no,60427.3,no
668,Male,47,7,106854.21,1,no,yes,157959.02,yes
695,Male,46,7,49512.55,1,yes,no,133007.34,no
730,Female,33,9,0,2,no,no,176576.62,no
807,Male,43,1,105799.32,2,yes,no,34888.04,yes
592,Male,54,8,0,1,yes,yes,28737.71,yes
726,Female,31,9,114722.05,2,yes,yes,98178.57,no
514,Male,30,7,0,1,no,yes,125010.24,no
567,Male,42,2,0,2,yes,yes,167984.61,no
850,Male,33,10,0,1,yes,no,4861.72,yes
671,Male,45,6,99564.22,1,yes,yes,108872.45,yes
670,Male,37,4,170557.91,2,yes,no,198252.88,no
694,Female,30,9,0,2,yes,yes,26960.31,no
547,Female,39,6,74596.15,3,yes,yes,85746.52,yes
751,Male,50,2,96888.39,1,yes,no,77206.25,yes
594,Female,29,3,130830.22,1,yes,no,61048.53,no
673,Male,72,1,0,2,no,yes,111981.19,no
610,Male,40,0,0,2,yes,no,62232.6,no
512,Female,37,1,0,2,no,yes,156105.03,no
767,Male,20,3,119714.25,2,no,yes,150135.38,no
585,Female,67,5,113978.97,2,no,yes,93146.11,no
763,Male,42,6,100160.75,1,yes,no,33462.94,yes
712,Female,29,2,0,1,yes,yes,144375,no
539,Female,43,3,116220.5,3,yes,no,55803.96,yes
668,Female,46,2,0,3,yes,no,89048.46,yes
703,Male,28,2,81173.83,2,no,yes,162812.16,no
662,Male,38,4,0,2,yes,no,136259.65,no
725,Female,39,5,116803.8,1,yes,no,124052.97,no
703,Male,37,8,105961.68,2,no,yes,74158.8,no
659,Male,67,6,117411.6,1,yes,yes,45071.09,yes
523,Male,34,7,0,2,yes,no,62030.06,no
635,Female,40,10,123497.58,1,yes,no,131953.23,yes
772,Male,26,7,152400.51,2,yes,no,79414,no
545,Female,26,1,0,2,yes,yes,199638.56,no
634,Male,24,8,103097.85,1,yes,yes,157577.29,no
739,Male,54,8,126418.14,1,yes,no,134420.75,yes
771,Female,36,5,77846.9,1,no,no,99805.99,no
587,Female,34,1,0,2,yes,yes,97932.68,no
681,Female,79,0,0,2,no,yes,170968.99,no
544,Male,37,2,79731.91,1,yes,yes,57558.95,no
696,Male,28,8,0,1,no,no,176713.47,no
766,Male,41,0,0,2,no,yes,34283.23,no
727,Male,34,10,0,2,yes,yes,198637.34,no
671,Female,34,6,37266.67,2,no,no,156917.12,no
693,Female,30,6,127992.25,1,yes,yes,50457.2,no
850,Male,38,3,54901.01,1,yes,yes,140075.55,no
732,Male,42,9,108748.08,2,yes,yes,65323.11,no
726,Female,48,6,99906.19,1,yes,no,64323.24,no
557,Female,32,6,184686.41,2,yes,no,14956.44,no
682,Female,26,0,110654.02,1,no,yes,111879.21,no
738,Male,31,9,79019.8,1,yes,yes,18606.23,no
531,Female,36,9,99240.51,1,yes,no,123137.01,no
498,Male,34,2,0,2,yes,yes,148528.24,no
651,Male,36,7,0,2,yes,no,13898.31,no
549,Female,39,7,0,1,no,no,81259.25,yes
791,Female,35,7,52436.2,1,yes,no,161051.75,no
650,Male,41,9,0,2,no,yes,191599.67,no
733,Male,34,3,100337.96,3,yes,no,48559.19,yes
811,Female,34,1,149297.19,2,yes,yes,186339.74,no
707,Male,30,8,0,2,yes,no,33159.37,no
712,Male,28,4,145605.44,1,no,yes,93883.53,no
706,Female,37,7,0,2,yes,yes,110899.3,no
756,Male,62,3,0,1,yes,yes,11199.04,yes
777,Female,53,10,0,2,yes,no,189992.97,no
646,Male,35,6,84026.86,1,no,yes,164255.69,no
714,Male,46,1,0,1,yes,no,152167.79,yes
782,Male,39,8,0,2,yes,yes,33949.67,no
775,Male,29,10,0,2,yes,yes,68143.93,no
479,Male,35,4,138718.92,1,yes,yes,47251.79,yes
807,Male,42,7,118274.71,1,yes,yes,25885.72,no
799,Female,22,8,174185.98,2,no,yes,192633.85,no
675,Male,40,7,113208.86,2,yes,no,34577.36,no
602,Male,29,5,103907.28,1,yes,no,161229.84,no
475,Female,32,8,119023.28,1,yes,no,100816.29,no
744,Female,26,5,166297.89,1,yes,yes,181694.44,no
588,Male,34,10,0,2,yes,no,79078.91,no
703,Male,42,9,63227,1,no,yes,137316.32,no
747,Female,41,5,94521.17,2,yes,no,194926.86,no
583,Male,27,7,0,2,yes,no,51285.49,no
750,Female,34,9,112822.26,1,no,no,150401.53,yes
681,Male,38,3,0,2,yes,yes,112491.96,no
773,Male,25,2,135903.33,1,yes,no,73656.38,no
714,Female,31,4,125169.26,1,yes,yes,106636.89,no
687,Female,44,7,0,3,yes,no,155853.52,yes
511,Male,58,0,149117.31,1,yes,yes,162599.51,no
627,Male,33,5,0,2,yes,yes,103737.82,no
694,Female,31,10,0,2,yes,no,160990.27,no
616,Female,36,6,132311.71,1,no,no,15462.84,no
687,Male,35,8,0,2,yes,no,10334.05,no
712,Female,33,6,0,2,yes,yes,190686.16,no
553,Male,33,4,118082.89,1,no,no,94440.45,no
667,Male,31,1,119266.69,1,yes,yes,28257.63,no
731,Male,43,2,0,1,yes,yes,170034.95,yes
629,Male,35,7,156847.29,2,yes,no,31824.29,no
614,Male,50,4,137104.47,1,yes,no,127166.49,yes
438,Male,31,8,78398.69,1,yes,no,44937.01,no
652,Female,80,4,0,2,yes,yes,188603.07,no
729,Male,30,6,63669.42,1,yes,no,145111.37,no
642,Male,38,3,0,2,no,no,171463.83,no
806,Female,59,0,135296.33,1,yes,no,182822.5,no
744,Male,36,2,153804.44,1,yes,yes,87213.33,no
474,Male,37,3,0,2,no,no,57175.32,no
559,Male,49,2,147069.78,1,yes,no,120540.83,yes
706,Male,42,9,0,2,yes,yes,28714.34,no
628,Female,22,3,0,1,yes,no,85426.28,no
429,Male,24,4,95741.75,1,yes,no,46170.75,no
525,Female,57,2,145965.33,1,yes,yes,64448.36,no
680,Female,30,8,141441.75,1,yes,yes,16278.97,no
749,Male,40,1,139290.41,1,yes,no,182855.42,yes
763,Female,31,4,0,2,no,no,50404.72,no
734,Male,30,3,0,2,yes,no,107640.25,no
716,Male,35,4,144428.87,1,yes,no,134132.65,no
594,Male,35,2,0,2,yes,no,103480.69,no
644,Female,46,9,95441.27,1,yes,no,108761.05,yes
671,Male,35,1,144848.74,1,yes,yes,179012.3,no
664,Male,26,7,116244.14,2,yes,yes,95145.14,no
656,Male,50,7,0,2,no,yes,72143.44,no
667,Female,40,1,146502.07,1,yes,no,19162.89,no
663,Male,44,2,117028.6,2,no,yes,144680.18,no
584,Female,30,8,112013.81,1,yes,no,177772.03,yes
626,Female,37,6,108269.37,1,yes,no,5597.94,no
485,Male,29,7,182123.79,1,yes,no,116828.51,yes
659,Female,32,3,150923.74,2,no,yes,174652.51,no
649,Male,33,2,0,2,yes,no,2010.98,no
805,Female,39,5,165272.13,1,yes,no,14109.85,yes
716,Female,39,10,115301.31,1,yes,no,43527.4,yes
642,Female,40,6,129502.49,2,no,yes,86099.23,yes
659,Male,31,4,118342.26,1,no,no,161574.19,no
545,Female,47,5,0,2,yes,yes,38970.14,no
543,Male,22,8,0,2,no,no,127587.22,no
718,Female,25,7,0,2,yes,no,30380.12,no
840,Female,43,7,0,2,yes,no,90908.95,no
630,Female,34,9,106937.05,2,yes,no,138275.01,no
643,Male,59,3,170331.37,1,yes,yes,32171.79,no
654,Female,32,1,114510.85,1,yes,yes,126143.23,no
582,Male,39,5,0,2,yes,yes,129892.93,no
659,Male,32,3,107594.11,2,yes,yes,102416.84,no
762,Male,39,2,81273.13,1,yes,yes,18719.67,no
568,Female,32,7,169399.6,1,yes,no,61936.22,no
670,Male,25,6,0,2,yes,yes,78358.94,no
613,Female,45,1,187841.99,2,yes,yes,147224.27,no
539,Male,30,0,0,2,yes,no,160979.66,no
850,Female,57,8,126776.3,2,yes,yes,132298.49,no
522,Male,34,9,126436.29,1,yes,no,174248.52,yes
737,Male,41,1,101960.74,1,yes,yes,123547.28,no
520,Male,58,3,0,2,no,yes,32790.02,no
706,Male,28,3,0,2,no,yes,181543.67,no
643,Female,45,2,150842.93,1,no,yes,2319.96,yes
648,Female,50,9,102535.57,1,yes,yes,189543.19,no
443,Female,29,9,99027.61,2,yes,no,10940.4,no
640,Male,68,9,0,2,yes,yes,199493.38,no
628,Female,33,3,0,1,yes,yes,188193.25,no
540,Female,42,9,87271.41,2,yes,no,172572.64,no
460,Female,35,8,102742.91,2,yes,yes,189339.6,no
636,Male,34,2,40105.51,2,no,yes,53512.16,no
593,Female,29,2,152265.43,1,yes,no,34004.44,no
801,Male,42,4,141947.67,1,yes,yes,10598.29,no
640,Female,75,1,106307.91,2,no,yes,113428.77,no
611,Male,31,0,107884.81,2,yes,yes,183487.98,no
802,Male,31,1,125013.72,1,yes,yes,187658.09,no
717,Male,35,7,58469.37,2,yes,yes,172459.39,no
769,Female,39,8,0,1,no,yes,21016,no
745,Male,45,10,117231.63,3,yes,yes,122381.02,yes
572,Male,35,4,152390.26,1,yes,no,128123.66,no
629,Female,30,2,34013.63,1,yes,no,19570.63,no
687,Female,39,2,0,3,no,no,188150.6,yes
483,Female,50,9,0,2,yes,yes,111020.24,no
690,Male,36,7,101583.11,2,yes,no,123775.15,no
492,Female,30,10,77168.87,2,no,yes,146700.22,no
709,Male,28,8,124695.72,2,yes,no,145251.35,no
705,Male,44,3,105934.96,1,yes,no,82463.69,no
560,Female,66,9,0,1,yes,yes,15928.49,no
611,Male,46,6,0,2,yes,no,45886.33,no
730,Male,62,2,0,2,yes,yes,186489.95,no
709,Female,45,2,0,2,no,yes,162922.65,no
544,Female,21,10,161525.96,2,yes,no,9262.77,no
712,Female,29,7,147199.07,1,yes,yes,84932.4,no
752,Male,38,3,183102.29,1,yes,yes,71557.12,no
648,Male,46,9,127209,2,yes,no,77405.95,yes
556,Male,38,8,0,2,no,no,417.41,yes
594,Female,24,0,97378.54,1,yes,yes,71405.17,no
645,Female,37,2,136925.09,2,no,yes,153400.24,no
557,Male,33,3,54503.55,1,yes,yes,371.05,no
547,Male,32,8,155726.85,1,yes,no,67789.99,no
701,Female,39,9,0,2,no,yes,145894.9,no
616,Female,66,1,135842.41,1,yes,no,183840.51,yes
605,Male,52,1,63349.75,1,yes,no,108887.44,no
593,Female,38,4,129499.42,1,yes,yes,154071.27,no
751,Male,52,8,0,2,no,yes,179291.85,no
443,Male,36,6,70438.01,2,no,yes,56937.43,no
685,Male,23,8,0,2,yes,yes,112239.03,no
718,Male,36,9,0,1,yes,no,45909.87,no
538,Female,49,9,141434.04,1,no,no,173779.25,yes
611,Female,37,4,0,2,yes,no,125696.26,no
668,Male,37,10,152958.29,2,yes,yes,159585.61,no
537,Female,41,3,138306.34,1,yes,no,106761.47,no
709,Male,23,10,0,2,no,no,129590.18,no
850,Male,38,1,0,2,yes,yes,80006.65,no
745,Female,31,3,124328.84,1,yes,yes,140451.52,no
693,Female,41,9,181461.48,3,yes,yes,187929.43,yes
795,Male,35,8,0,2,yes,no,167155.36,no
626,Male,26,8,0,2,no,no,191420.71,no
487,Female,61,5,110368.03,1,no,no,11384.45,yes
556,Female,39,9,89588.35,1,yes,yes,94898.1,no
643,Female,46,6,0,2,no,no,106781.59,no
605,Female,28,6,0,2,no,no,159508.52,no
756,Female,60,3,115924.89,1,yes,no,93524.19,yes
586,Female,38,2,0,2,yes,no,87168.46,no
535,Male,40,7,111756.5,1,yes,no,8128.32,yes
678,Female,35,4,0,1,yes,no,125518.32,no
596,Male,39,9,0,1,yes,no,48963.59,no
648,Male,26,9,162923.85,1,yes,no,98368.24,no
492,Male,39,10,124576.65,2,yes,no,148584.61,no
702,Male,45,0,80793.58,1,yes,yes,27474.81,no
486,Female,40,9,71340.09,1,yes,no,76192.21,no
568,Male,40,1,99282.63,1,no,no,134600.94,yes
619,Male,57,3,137946.39,1,yes,yes,72467.99,yes
724,Male,41,2,127892.57,2,no,yes,199645.45,no
548,Female,33,0,101084.36,1,yes,no,42749.85,no
545,Female,37,8,114754.08,1,yes,no,136050.44,yes
683,Male,33,8,0,1,no,no,73564.44,no
762,Female,51,3,99286.98,1,no,yes,85578.63,no
627,Female,30,4,79871.02,2,yes,no,129826.89,no
516,Male,35,10,104088.59,2,no,no,119666,no
800,Female,38,2,168190.33,2,yes,no,68052.08,no
464,Female,42,3,85679.25,1,yes,yes,164104.74,no
626,Female,35,3,0,1,no,no,80190.36,no
790,Female,31,9,0,2,yes,no,84126.75,no
534,Female,34,7,121551.58,2,yes,yes,70179,no
745,Male,46,2,122220.19,1,yes,yes,118024.1,no
553,Male,47,3,116528.15,1,no,no,145704.19,yes
748,Female,26,1,77780.29,1,no,yes,183049.41,no
722,Male,37,2,0,1,no,no,120906.83,no
501,Male,40,4,125832.2,1,yes,yes,100433.83,no
675,Female,38,6,68065.8,1,no,no,138777,yes
778,Female,47,6,127299.34,2,yes,no,124694.99,no
494,Female,38,7,174937.64,1,yes,no,40084.32,no
850,Male,40,9,0,2,no,yes,119232.33,no
592,Male,31,7,110071.1,1,no,no,43921.36,no
590,Female,44,3,139432.37,1,yes,no,62222.81,no
758,Female,39,6,127357.76,1,no,yes,56577,no
506,Male,36,5,0,2,yes,no,164253.35,no
733,Male,33,3,0,1,yes,yes,7666.73,no
711,Male,38,3,0,2,yes,no,68487.51,no
514,Male,43,1,95556.31,1,no,yes,199273.98,yes
637,Male,37,8,0,1,yes,yes,186062.36,no
468,Male,29,1,111681.98,2,yes,yes,195711.16,no
539,Male,39,3,0,2,yes,no,36692.17,no
509,Female,25,3,108738.71,2,yes,no,106920.57,no
662,Female,32,4,133950.37,1,yes,yes,48725.68,yes
818,Male,26,4,0,2,yes,yes,167036.94,no
608,Male,33,9,89968.69,1,yes,no,68777.26,no
850,Female,32,9,0,2,yes,yes,18924.92,no
816,Female,38,5,130878.75,3,yes,no,71905.77,yes
536,Male,35,8,0,2,yes,no,64833.28,no
753,Male,35,3,0,2,yes,yes,184843.77,no
631,Male,27,10,134169.62,1,yes,yes,176730.02,no
703,Male,37,1,149762.08,1,yes,no,20629.4,yes
774,Male,26,2,93844.69,1,yes,no,28415.36,no
785,Male,28,8,0,2,yes,no,77231.27,no
571,Female,33,1,0,2,yes,no,102750.7,no
621,Male,46,6,141078.37,1,no,no,34580.8,yes
605,Female,31,1,117992.59,1,yes,yes,183598.77,no
611,Female,40,8,100812.33,2,yes,no,147358.27,no
569,Male,38,7,0,1,yes,yes,108469.2,no
658,Male,29,4,80262.6,1,yes,yes,20612.82,no
788,Male,34,6,156478.62,1,no,yes,181196.76,no
525,Female,23,5,0,2,yes,no,160249.1,no
798,Male,37,8,0,3,no,no,110783.28,no
486,Male,37,9,115217.99,2,yes,no,144995.33,no
615,Male,61,9,0,2,yes,no,150227.85,yes
730,Female,35,0,155470.55,1,yes,yes,53718.28,no
641,Male,37,7,0,2,yes,no,75248.3,no
542,Male,39,3,135096.77,1,yes,yes,14353.43,yes
692,Male,30,2,0,2,no,yes,130486.57,no
714,Female,55,9,180075.22,1,yes,yes,100127.71,no
591,Male,29,1,97541.24,1,yes,yes,196356.17,no
710,Female,41,2,156067.05,1,yes,yes,9983.88,no
639,Female,38,4,81550.94,2,no,yes,118974.77,no
531,Female,47,6,0,1,no,no,194998.34,yes
673,Female,38,2,170061.92,2,no,no,134901.34,yes
765,Male,36,8,92310.54,2,yes,yes,72924.56,no
622,Female,32,6,169089.38,2,yes,no,101057.95,no
806,Male,40,5,80613.93,1,yes,yes,142838.64,no
757,Male,26,8,121581.56,2,yes,yes,127059.04,no
570,Female,58,8,0,1,no,yes,116503.92,yes
555,Male,32,4,0,2,yes,yes,54405.79,no
692,Male,54,5,0,2,yes,yes,88721.84,no
774,Male,60,5,85891.55,1,yes,no,74135.48,yes
638,Male,44,9,77637.35,2,yes,yes,111346.22,no
543,Female,41,4,0,1,no,no,194902.16,no
584,Male,31,5,0,2,yes,no,31474.27,no
691,Male,30,7,116927.89,1,yes,no,21198.39,no
684,Female,40,6,137326.65,1,yes,no,186976.6,no
733,Male,22,5,0,2,yes,yes,117202.19,no
599,Female,37,2,0,2,yes,yes,143739.29,no
524,Female,31,10,67238.98,2,yes,yes,161811.23,no
